id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
27729096,Views of Balboa Golf and Park at Casa Tuya,71997997,Lisa,,North Hills,32.73687,-117.13335,Entire home/apt,425,28,9,2019-06-11,0.20,1,279,0,
28780237,Spacious Family Getaway | Comfy 2BR SDSU,50941575,Austin,,Rolando,32.76451,-117.05223,Entire home/apt,192,2,71,2022-05-17,1.58,3,31,18,
28441113,La Boheme Executive Loft Condo,214708294,Kate,,North Hills,32.74896,-117.12994,Entire home/apt,110,31,4,2020-06-06,0.09,1,144,0,
27733348,Mid-century home with canyon view and hummingbirds,195442872,Angela,,West University Heights,32.75789,-117.15191,Entire home/apt,186,4,9,2019-04-08,0.20,2,0,0,
28443930,"Cute San Diego Condo near airport, downtown",51259492,Colleen,,Midtown,32.73494,-117.16402,Private room,60,30,33,2022-05-14,0.73,1,0,2,
28786001,Center of Pacific Beach!,3973963,William,,Pacific Beach,32.79927,-117.24275,Entire home/apt,384,2,30,2021-09-06,0.74,1,43,6,
27758775,Private King Bed Guest suite in Clairemont,195010549,Devin,,North Clairemont,32.84067,-117.20876,Entire home/apt,89,1,161,2022-05-31,3.49,1,323,56,
28791607,"Boat Bed & Breakfast - ""SUN FOX"" 44' Regal",2990799,Shaun,,Midtown District,32.71831,-117.22068,Entire home/apt,357,2,11,2022-05-30,0.28,7,81,6,
28455519,Quiet & Clean Cottage 5 Blocks to the Beach w/AC,41754432,James,,Pacific Beach,32.79811,-117.24992,Entire home/apt,298,4,132,2022-06-08,2.90,4,205,37,
27759366,Beautiful Quiet 2 bedroom Vacation House With A/C,10478904,Amir,,Midtown,32.74417,-117.15274,Entire home/apt,230,1,472,2022-06-14,10.14,3,324,118,
28464060,Cozy Clifftop Guest Cottage - Close to it All!,34476470,Brock,,Bay Ho,32.83561,-117.22823,Entire home/apt,221,14,7,2020-04-24,0.17,8,293,0,
27778509,(L) 1Bed/1Bath spacious on Thomas/crown point,208087084,Anthony And Martha,,Pacific Beach,32.7992,-117.23228,Entire home/apt,192,1,110,2022-05-01,2.41,15,274,35,
28464683,Couture Cabana in City Near All,36483772,Erika,,Memorial,32.6986,-117.13747,Entire home/apt,134,1,212,2022-05-28,4.69,4,49,70,
28839536,3 BD Bohemian Beach Bungalow(We Decorate for XMAS),68267449,Amanda,,Mission Bay,32.78316,-117.2534,Entire home/apt,518,2,149,2022-05-17,3.39,3,279,53,
27779046,Downtown/Convention Center Apartment,6967601,Diego,,Grant Hill,32.7082,-117.14095,Entire home/apt,124,1,126,2022-05-29,2.72,2,299,27,
28844494,PB Stylish Dream HOUSE❤️Walk to Beach Bay +A/C Spa,4501445,Diego,,Pacific Beach,32.797112,-117.249474,Entire home/apt,452,2,172,2022-06-06,3.83,7,49,43,
28465831,Lovely Space,7965802,Patricia,,Encanto,32.72466,-117.06153,Entire home/apt,100,1,198,2022-05-27,4.34,2,161,35,
27801777,The “OUT” House: Artist’s Loft/Studio,209932318,Tara,,Normal Heights,32.762314,-117.117104,Entire home/apt,147,1,92,2022-06-11,2.00,1,302,40,
28471450,⭐️ 2 Bed Condo with Ocean View ⭐️Little Italy,191135924,Adam,,Park West,32.72833,-117.16542,Entire home/apt,139,3,253,2022-06-09,5.61,12,77,85,
28872641,Beach Getaway on Hornblend,118282318,Caroline & Anthony,,Pacific Beach,32.79895,-117.24587,Entire home/apt,250,2,290,2022-06-01,6.49,6,232,56,
27803399,Spacious home with incredible backyard views,58406768,Jen,,Lake Murray,32.81012,-117.04747,Entire home/apt,418,2,301,2022-06-12,6.53,3,69,61,
28472945,"Cozy home, free WiFi, Netflix.",214939815,Sergio,,Memorial,32.703449,-117.139099,Entire home/apt,86,2,219,2022-06-07,4.81,1,121,63,
27812258,"Stylish, cozy studio in the heart of Little Italy",85561689,George,,Little Italy,32.72469,-117.16778,Entire home/apt,135,2,63,2022-06-05,2.03,4,115,37,
